Rank,Name,Sport,Total Pay,Salary/Winnings,Endorsements,Nation,Gender,Year of birth,Birth Date,Place of Birth,Height (cm)
55,Aaron Rodgers,Football,22000000,14500000,7500000,United States,Male,1983,2/12/1983,"Chico, California, United States",188
95,Adam Scott,Golf,17700000,8700000,9000000,Australia,Male,1980,16/07/1980,"Adelaide, Australia",183
60,Adrian Gonzalez,Baseball,21500000,21100000,400000,United States,Male,1982,8/5/1982,"San Diego, California, United States",188
48,Alex Rodriguez,Baseball,22900000,22600000,300000,United States,Male,1975,27/07/1975,New York City,190
93,Alfonso Soriano,Baseball,18050000,18000000,50000,Dominican Republic,Male,1976,7/1/1976,"San Pedro de Macorís, Dominican Republic",185
27,Amar'e Stoudemire,Basketball,26700000,21700000,5000000,United States,Male,1982,16/11/1982,"Lake Wales, Florida",211
75,Barry Zito,Baseball,20400000,20300000,100000,United States,Male,1978,13/05/1978,"Las Vegas Valley, Nevada, United States",188
47,Blake Griffin,Basketball,23000000,16500000,6500000,United States,Male,1989,16/03/1989,"Oklahoma City, Oklahoma, United States",208
91,Branden Albert,Football,18435000,18400000,35000,United States,Male,1984,4/11/1984,"Rochester, New York, United States",196
97,Brandon Marshall,Football,17500000,16800000,700000,United States,Male,1984,23/03/1984,Pittsburgh,193
74,Carl Crawford,Baseball,20500000,20200000,300000,United States,Male,1981,5/8/1981,"Houston, United States",188
84,Carlos Dunlap,Football,18750000,18700000,50000,United States,Male,1989,28/02/1989,"North Charleston, South Carolina",198
24,Carmelo Anthony,Basketball,29400000,21400000,8000000,United States,Male,1984,29/05/1984,"Brooklyn, New York City, New York, United States",203
37,CC Sabathia,Baseball,24200000,23000000,1200000,United States,Male,1980,21/07/1980,"Vallejo, California",201
37,Chris Paul,Basketball,24200000,18700000,5500000,United States,Male,1985,6/5/1985,"Forsyth County, North Carolina, United States",183
57,Chris Bosh,Basketball,21800000,19300000,2500000,United States,Male,1984,24/03/1984,"Dallas, Texas, United States",211
30,Cliff Lee,Baseball,25300000,25100000,200000,United States,Male,1978,30/08/1978,"Benton, Arkansas",190
70,Cole Hamels,Baseball,20700000,20500000,200000,United States,Male,1983,27/12/1983,"San Diego, California, United States",193
40,Darrelle Revis,Football,23800000,23000000,800000,United States,Male,1985,14/07/1985,"Aliquippa, Pennsylvania, United States",180
80,David Ortiz,Baseball,19800000,14800000,5000000,Dominican Republic,Male,1975,18/11/1975,"Santo Domingo, Dominican Republic",195
35,Derek Jeter,Baseball,24300000,15300000,9000000,United States,Male,1974,26/06/1974,"Pequannock Township, New Jersey",190
79,Deron Williams,Basketball,20000000,18500000,1500000,United States,Male,1984,26/06/1984,"Parkersburg, West Virginia",191
13,Derrick Rose,Basketball,36600000,17600000,19000000,United States,Male,1988,4/10/1988,"Chicago, Illinois, United States",191
45,Dirk Nowitzki,Basketball,23200000,22700000,500000,Germany,Male,1978,19/06/1978,"West Germany, Würzburg",213
33,Zack Greinke,Baseball,24450000,24400000,50000,United States,Male,1983,21/10/1983,"Orlando, Florida",188
66,Drew Brees,Football,21000000,10000000,11000000,United States,Male,1979,15/01/1979,"Austin, Texas",183
29,Dwight Howard,Basketball,25500000,20500000,5000000,United States,Male,1985,8/12/1985,"Atlanta, Georgia, United States",211
23,Dwyane Wade,Basketball,29900000,18900000,11000000,United States,Male,1982,17/01/1982,"Chicago, Illinois, United States",193
6,Tiger Woods,Golf,61200000,6200000,55000000,United States,Male,1975,30/12/1975,"Cypress, California",185
66,Eli Manning,Football,21000000,13500000,7500000,United States,Male,1981,3/1/1981,"New Orleans, Louisiana, United States",193
11,Manny Pacquiao,Boxing,41800000,41000000,800000,Philippines,Male,1978,17/12/1978,"Kibawe, Bukidnon, General Santos, Philippines",152
77,Felix Hernandez,Baseball,20300000,20100000,200000,Venezuela,Male,1986,8/4/1986,"Valencia, Venezuela",190
21,Fernando Alonso,Racing,31000000,29000000,2000000,Spain,Male,1981,29/07/1981,"Oviedo, Asturias, Spain",171
63,Fernando Torres,Soccer,21300000,17800000,3500000,Spain,Male,1984,20/03/1984,"Fuenlabrada, Spain",186
1,Floyd Mayweather,Boxing,105000000,105000000,0,United States,Male,1977,24/02/1977,"Grand Rapids, Michigan, United States",173
92,Franck Ribéry,Soccer,18300000,16800000,1500000,France,Male,1983,7/4/1983,"Boulogne-sur-Mer, France",170
14,Gareth Bale,Soccer,36400000,25400000,11000000,Wales,Male,1989,16/07/1989,"Cardiff, Wales",183
53,Geno Atkins,Football,22350000,22300000,50000,United States,Male,1988,28/03/1988,"Pembroke Pines, Florida, United States",185
59,Yaya Touré,Soccer,21700000,19200000,2500000,Ivory Coast,Male,1983,13/05/1983,"Bouaké, Ivory Coast",191
64,Henrik Stenson,Golf,21200000,18000000,3200000,Sweden,Male,1976,5/4/1976,"Gothenburg, Sweden",185
94,Jairus Byrd,Football,18000000,17900000,100000,United States,Male,1986,7/10/1986,"San Diego, California, United States",178
70,Jason Peters,Football,20750000,20700000,50000,United States,Male,1982,22/01/1982,"Queen City, Texas, United States",193
97,Jayson Werth,Baseball,17500000,17300000,200000,United States,Male,1979,20/05/1979,"Springfield, Illinois",196
86,Jeff Gordon,Racing,18700000,13700000,5000000,United States,Male,1971,4/8/1971,"Vallejo, California, United States",150
42,Jimmie Johnson,Racing,23500000,17000000,6500000,United States,Male,1975,17/09/1975,"El Cajon, California, United States",165
52,Joe Johnson,Basketball,22500000,21500000,1000000,United States,Male,1981,29/06/1981,"Little Rock, Arkansas",201
48,Johan Santana,Baseball,22900000,22500000,400000,Venezuela,Male,1979,13/03/1979,"Mérida, Venezuela",183
18,Matthew Stafford,Football,33000000,31500000,1500000,United States,Male,1988,7/2/1988,"Tampa, Florida, United States",188
77,Albert Pujols,Baseball,20300000,18300000,2000000,Dominican Republic,Male,1980,16/01/1980,Santo Domingo,190
32,Miguel Cabrera,Baseball,24600000,22600000,2000000,Venezuela,Male,1983,18/04/1983,"Venezuela, Maracay",193
31,Joe Mauer,Baseball,24800000,23000000,1800000,United States,Male,1983,19/04/1983,"Saint Paul, Minnesota",196
62,Joe Haden,Football,21350000,21200000,150000,United States,Male,1989,14/04/1989,"Fort Washington, Maryland, United States",180
69,Julius Peppers,Football,20800000,20400000,400000,United States,Male,1980,18/01/1980,"Wilson, North Carolina, United States",201
70,Justin Verlander,Baseball,20700000,20200000,500000,United States,Male,1983,20/02/1983,"Manakin-Sabot, Virginia",196
20,Kevin Durant,Basketball,31900000,17900000,14000000,United States,Male,1988,29/09/1988,"Washington, D.C.",206
5,Kobe Bryant,Basketball,61500000,30500000,31000000,United States,Male,1978,23/08/1978,Philadelphia,198
89,Larry Fitzgerald,Football,18500000,17000000,1500000,United States,Male,1983,31/08/1983,Minneapolis,191
3,LeBron James,Basketball,72300000,19300000,53000000,United States,Male,1984,30/12/1984,"Akron, Ohio",203
19,Lewis Hamilton,Racing,32000000,29000000,3000000,England,Male,1985,7/1/1985,"Stevenage, Hertfordshire, England, United Kingdom",174
41,Li Na,Tennis,23600000,5600000,18000000,China,Female,1982,26/02/1982,"Wuhan, Hubei, China",172
4,Lionel Messi,Soccer,64700000,41700000,23000000,Argentina,Male,1987,24/06/1987,"Rosario, Santa Fe, Argentina",169
100,Luis Suárez,Soccer,17300000,13300000,4000000,Uruguay,Male,1987,24/01/1987,"Salto, Uruguay",181
22,Mahendra Singh Dhoni,Cricket,30000000,4000000,26000000,India,Male,1981,7/7/1981,"Ranchi, Bihar, India",175
34,Maria Sharapova,Tennis,24400000,2400000,22000000,Russia,Female,1987,19/04/1987,"Nyagan, Russia",188
50,Mark Teixeira,Baseball,22700000,22500000,200000,United States,Male,1980,11/4/1980,"Annapolis, Maryland",191
51,Matt Kemp,Baseball,22600000,21800000,800000,United States,Male,1984,23/09/1984,"Midwest City, Oklahoma",193
10,Matt Ryan,Football,43800000,42000000,1800000,United States,Male,1985,17/05/1985,"Exton, Pennsylvania, United States",193
75,Matt Cain,Baseball,20400000,20000000,400000,United States,Male,1984,1/10/1984,"Dothan, Alabama",190
99,Matt Holliday,Baseball,17400000,17200000,200000,United States,Male,1980,15/01/1980,"Stillwater, Oklahoma",193
89,Mesut Özil,Soccer,18500000,12500000,6000000,Germany,Male,1988,15/10/1988,"Gelsenkirchen, Germany",181
16,Neymar,Soccer,33600000,17600000,16000000,Brazil,Male,1992,5/2/1992,"Mogi das Cruzes, Brazil",175
17,Novak Djokovic,Tennis,33100000,12100000,21000000,Serbia,Male,1987,22/05/1987,"Belgrade, Serbia",188
57,Pau Gasol,Basketball,21800000,19300000,2500000,Spain,Male,1980,6/7/1980,"Barcelona, Spain",213
26,Peyton Manning,Football,27100000,15100000,12000000,United States,Male,1976,24/03/1976,New Orleans,196
8,Phil Mickelson,Golf,53200000,5200000,48000000,United States,Male,1970,16/06/1970,"San Diego, California, United States",190
39,Prince Fielder,Baseball,23900000,23500000,400000,United States,Male,1984,9/5/1984,"Ontario, California",183
15,Radamel Falcao,Soccer,35400000,32400000,3000000,Colombia,Male,1986,10/2/1986,"Santa Marta, Colombia",177
9,Rafael Nadal,Tennis,44500000,14500000,30000000,Spain,Male,1986,3/6/1986,"Manacor, Balearic Islands, Spain",185
28,Dale Earnhardt Jr.,Racing,25900000,14900000,11000000,United States,Male,1974,10/10/1974,"Kannapolis, North Carolina, United States",165
81,Robin van Persie,Soccer,19500000,16500000,3000000,Netherlands,Male,1983,6/8/1983,"Rotterdam, Netherlands",183
60,Robinson Cano,Baseball,21500000,18000000,3500000,Dominican Republic,Male,1982,22/11/1982,"San Pedro de Macorís, Dominican Republic",183
7,Roger Federer,Tennis,56200000,4200000,52000000,Switzerland,Male,1981,8/8/1981,"Basel, Switzerland",183
35,Rory McIlroy,Golf,24300000,4300000,20000000,Northern Ireland,Male,1989,4/5/1989,"County Down, Northern Ireland, United Kingdom",175
88,Rudy Gay,Basketball,18600000,17900000,700000,United States,Male,1986,17/08/1986,Baltimore,203
82,Russell Westbrook,Basketball,19200000,14700000,4500000,United States,Male,1988,12/11/1988,"Long Beach, California",191
53,Ryan Howard,Baseball,22400000,21700000,700000,United States,Male,1979,19/11/1979,St. Louis,193
66,Canelo Alvarez,Boxing,21000000,19500000,1500000,Mexico,Male,1990,18/07/1990,"Guadalajara, Jalisco, Mexico",180
83,Sebastian Vettel,Racing,19000000,18000000,1000000,Germany,Male,1987,3/7/1987,"Heppenheim, Hesse, Germany",176
55,Serena Williams,Tennis,22000000,11000000,11000000,United States,Female,1981,26/09/1981,"Saginaw, Michigan, United States",175
44,Sergio Agüero,Soccer,23300000,18300000,5000000,Argentina,Male,1988,2/6/1988,Buenos Aires,173
86,Steven Gerrard,Soccer,18700000,13200000,5500000,England,Male,1980,30/05/1980,"Whiston, Merseyside, England, United States",183
96,Terrell Suggs,Football,17600000,17400000,200000,United States,Male,1982,11/10/1982,"Minneapolis, Minnesota, United States",191
73,Tim Lincecum,Baseball,20550000,20300000,250000,United States,Male,1984,15/06/1984,"Bellevue, Washington",180
45,Usain Bolt,Track,23200000,200000,23000000,Jamaica,Male,1986,21/08/1986,"Trelawny Parish, Jamaica",196
65,Vernon Wells,Baseball,21100000,21000000,100000,United States,Male,1978,8/12/1978,"Shreveport, Louisiana",185
43,Wayne Rooney,Soccer,23400000,18400000,5000000,England,Male,1985,24/10/1985,"Croxteth, Liverpool, England, United Kingdom",176
25,Wladimir Klitschko,Boxing,28000000,24000000,4000000,Ukraine,Male,1976,25/03/1976,Kazakhstan,198
84,Zach Randolph,Basketball,18800000,18300000,500000,United States,Male,1981,16/07/1981,"Marion, Indiana",206
12,Zlatan Ibrahimović,Soccer,40400000,36400000,4000000,Sweden,Male,1981,3/10/1981,"Malmö, Sweden",195
2,Cristiano Ronaldo,Soccer,80000000,52000000,28000000,Portugal,Male,1985,5/2/1985,"Funchal, Madeira, Portugal",185
